language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
anglais;unit5;p50;9;verbe;;look for, looked for;;chercher
anglais;unit5;p50;10;verbe;;marry, married;;se marier
anglais;unit5;p50;11;verbe;;start, started;;commencer
anglais;unit5;p50;12;verbe;;stay, stayed;;rester
anglais;unit5;p50;13;verbe;;stop, stopped;;cesser
anglais;unit5;p50;14;verbe;;study, studied;;étudier
anglais;unit5;p50;15;verbe;;travel, travelled;;voyager
anglais;unit5;p50;16;verbe;;try, tried;;essayer
anglais;unit5;p50;17;verbe;;walk, walked;;marcher
anglais;unit5;p50;18;verbe;;watch, watched;;regarder
anglais;unit5;p50;19;verbe;;work, worked;;travailler
anglais;unit5;p50;20;mot;;arrive;;arriver
anglais;unit5;p50;21;mot;;call;;appeler
anglais;unit5;p50;22;mot;;change;;changer
anglais;unit5;p50;23;mot;;climb;;monter
anglais;unit5;p50;24;mot;;die;;mourir
anglais;unit5;p50;25;mot;;end;;s’achever
anglais;unit5;p50;26;mot;;finish;;finir
anglais;unit5;p50;27;mot;;happen;;happened se passer
anglais;unit5;p50;28;mot;;look for;;chercher
anglais;unit5;p50;29;mot;;marry;;se marier
anglais;unit5;p50;30;mot;;start;;commencer
anglais;unit5;p50;31;mot;;stay;;rester
anglais;unit5;p50;32;mot;;stop;;cesser
anglais;unit5;p50;33;mot;;study;;étudier
anglais;unit5;p50;34;mot;;travel;;voyager
anglais;unit5;p50;35;mot;;try;;essayer
anglais;unit5;p50;36;mot;;walk;;marcher
anglais;unit5;p50;37;mot;;watch;;regarder
anglais;unit5;p50;38;mot;;work;;travailler
anglais;unit6;p60;1;mot;;boring;;ennuyeux
anglais;unit6;p60;2;mot;;busy;;animé (bondé) – <être occupé, un agenda chargé>
anglais;unit6;p60;3;mot;;dangerous;;dangereux
anglais;unit6;p60;4;mot;;difficult;;difficile
anglais;unit6;p60;5;mot;;easy;;facile
anglais;unit6;p60;6;mot;;exciting;;excitant
anglais;unit6;p60;7;mot;;interesting;;intéressant
anglais;unit6;p60;8;mot;;modern;;moderne
anglais;unit6;p60;9;mot;;noisy;;bruyant
